"","Amamu1","Canalb1","Neucr4830_1","Neucr_trp3_1","SacceM3707_1","SacceM3836_1","SacceM3837_1","SacceM3838_1","SacceM3839_1"
"1.1.1.195",12.6871352448617,0,0,12.1359223300971,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,12.5549278091651
"1.1.1.2",20.2994163917787,15.5460551884959,39.6825396825397,29.126213592233,0,0,0,0,0
"1.1.1.205",2.53742704897234,3.88651379712398,3.30687830687831,4.85436893203883,6.26174076393237,6.265664160401,9.41915227629513,9.36621916952857,6.27746390458255
"1.1.1.21",50.7485409794468,77.7302759424796,16.5343915343915,12.1359223300971,15.6543519098309,15.6641604010025,15.6985871271586,15.6103652825476,15.6936597614564
"1.1.1.22",7.61228114691703,0,19.8412698412698,14.5631067961165,0,0,0,0,0
"1.1.1.23",2.53742704897234,0,0,0,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.250",2.53742704897234,3.88651379712398,0,4.85436893203883,0,0,0,0,0
"1.1.1.3",10.1497081958894,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.31",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,0,0,0,0,0
"1.1.1.34",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.37",25.3742704897234,58.2977069568597,82.6719576719577,36.4077669902913,62.6174076393237,62.65664160401,62.7943485086342,62.4414611301904,62.7746390458255
"1.1.1.4",5.07485409794468,0,0,0,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.40",10.1497081958894,0,6.61375661375661,0,0,0,0,0,0
"1.1.1.41",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.42",7.61228114691703,23.3190827827439,9.92063492063492,7.28155339805825,28.1778334376957,28.1954887218045,28.2574568288854,28.0986575085857,28.2485875706215
"1.1.1.44",2.53742704897234,0,0,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.49",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.62",15.2245622938341,0,0,7.28155339805825,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.65",10.1497081958894,3.88651379712398,16.5343915343915,7.28155339805825,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.8",2.53742704897234,7.77302759424796,3.30687830687831,2.42718446601942,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.85",2.53742704897234,3.88651379712398,6.61375661375661,2.42718446601942,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.86",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.87",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.91",15.2245622938341,0,0,7.28155339805825,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.95",2.53742704897234,3.88651379712398,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.2.3",10.1497081958894,3.88651379712398,9.92063492063492,9.70873786407767,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.2.4",2.53742704897234,15.5460551884959,13.2275132275132,7.28155339805825,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.3.15",2.53742704897234,0,0,0,0,0,0,0,0
"1.1.3.8",2.53742704897234,0,0,0,0,0,0,0,0
"1.1.99.1",25.3742704897234,0,13.2275132275132,16.9902912621359,0,0,0,0,0
"1.1.99.5",2.53742704897234,0,0,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.10.2.2",20.2994163917787,3.88651379712398,3.30687830687831,19.4174757281553,28.1778334376957,28.1954887218045,28.2574568288854,28.0986575085857,28.2485875706215
"1.10.3.2",35.5239786856128,0,19.8412698412698,14.5631067961165,0,0,0,0,0
"1.10.3.3",2.53742704897234,19.4325689856199,16.5343915343915,0,0,0,0,0,0
"1.11.1.5",2.53742704897234,7.77302759424796,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.11.1.6",10.1497081958894,7.77302759424796,19.8412698412698,14.5631067961165,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,12.5549278091651
"1.11.1.7",7.61228114691703,0,0,7.28155339805825,0,0,0,0,0
"1.13.-.-",2.53742704897234,0,0,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.13.11.37",7.61228114691703,0,0,7.28155339805825,0,0,0,0,0
"1.13.11.5",10.1497081958894,0,6.61375661375661,4.85436893203883,0,0,0,0,0
